S/N,Interview Unique Indentifier (IUI),Timestamp,User's thoughts or feeling,Designer's guess,Rater 1,Rater 2,Rater 3,Empathic Accuracy (EA),User's Emotional Tone,Designer's Guess of User's Emotional Tone,Emotional Tone Accuracy (ETA),,,,,,,,,,,,,,,,,,,,
1,1,5:29,"I was once again going back to my “driving times” at home, in country. Having my own music, my own space, and also the route to my old university and to my previous job were really nice, so feeling nostalgic.",She / He was thinking how one should focus on driving when driving,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
2,1,7:18,I was remembering more stressful driving situations. One situation that gets me particularly angry is traffic lights with a very short “green” time. ,"She / He was thinking it is good to know how long time one has to cross the road, you never know when the light changes.",1,0,1,0.667,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
3,1,8:05,I was thinking about how much ideal can an “ideal situation” be. Can’t help being a bit realistic and thinking people and situations can’t be completely controlled.,"She / He was thinking how often people do not follow the lights, but cross any ways",0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
4,1,10:52,I was thinking that a “very improved version” of GPS would really enhance driving experience.,She / He was not sure she explained herself well,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
5,1,15:00,I was thinking definitely one of the things that bothers me the most on the road is other drivers. The assistant device should definitely provide and improve on that.,She / He was thinking of  the scanario and cars coming close,0,2,0,0.667,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
6,1,16:03,I was thinking of  other drivers or careless pedestrians. Here I started remembering that desperate/angry feeling.,She / He was thinking of a situation she had been in with a lot of people walking around and they were driving,1,2,1,1.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
7,1,17:16,"I was feeling slightly anxious remembering those storms. Definitely the worst scenario I’ve ever driven in. Your vision is completely blocked by super heavy rain and it's extremely noisy, which makes the situation more stressful. Definitely some guidance/assistance would be great.",She / He was thinking of a time of a heavy storm back home,1,2,1,1.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
8,1,20:25,"I was thinking that no matter how basic this expectation might be, a lot of devices don’t actually commit to it, but when it comes to driving it should be crucial.",She / He was trying to think of how to say what she wanted to say,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
9,1,22:56,"I was imagining how cool would having some kind of predictive vision  be, as long as it's not too overwhelming or distracting.",She / He was trying to think how else it could be so it is not distracting,1,2,1,1.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
10,1,24:06:00,"I was remembering the use of Amazon Echo Dot (Alexa) voice command works great, only issue is sometimes with the network. That would be a great type of “driving companion”.",She / He was thinking that voice is safer than using hands  while driving,0,0,1,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
11,2,4:40,I was concentrating. Lots of brainwork,She / He was trying to think of how to formulate his answer,2,0,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
12,2,6:30,I was momentarily confused. There was a short connection problem but I managed to conclude what  the interviewer's sentence was.,She / He was feeling rushed to move to the next scenario,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
13,2,9:40,"I was happy to be able to use some imagination. Quite easy answers, no hard processing",She / He was feeling human intuition is better than machine messages,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
14,2,14:05,"I was receiving positive feedback but very shortly, kind of feeling ‘not worth it.’ 
This is the normal thing to do, right? Shouldn’t get thanks for that…",She / He was thinking how he better check himself so he can really be sure it is safe,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
15,2,14:20,I was being an engineer. Developing right away possible solutions in my mind and not fully concentrating on what’s said.,She / He was feeling suspicious if this device could really exist,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
16,2,16:50,"I was feeling a bit bad about all the past driving situations in ‘November Rain’
(also playing in my mind ""And we both know hearts can change - It’s hard to hold a candle … "") Noticed afterward how one thought brought a negative tone to mind for a minute or two.",She / He was thinking how dark it is in November and how hard it is to see,1,0,1,0.667,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
17,2,17:55,"I was feeling a need to get a relief, to get something off my mind. To get some acceptance cause I’m feeling that I’m doing this thing wrong sometimes.",She / He was  thinking back to near misses in dark November,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
18,2,19:10,I was satisfied with having found some kind of solution,She / He was Wondering how  to trust a device,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
19,2,19:50,I was buying time again.,She / He was amused of his own thought,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
20,2,20:10,I was blocking some of my senses (covering face is a bit like looking away) to concentrate better.,She / He was thinking how it should be on all the time if it really worked,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
21,3,3:00,"I was thinking about being in my boyfriend's car, that is super comfortable and that I really like to drive. I was feeling comfortable ",I was thinking of my car or a car I drive,1,2,1,1.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
22,3,5:24,"I was thinking the meaning of driving for me is quite neutral, it's just a way to get to other places to do some nicer things",I was thinking how I should answer the question,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
23,3,6:10,"I was feeling a bit anxious, thinking about driving in a certain intersection in the center of the city where pedestrians always seem like they are gonna hop under the car against red lights",I was thinking of my self in an intersection with light turning green,0,0,1,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
24,3,7:15,"I was thinking of the scenario that makes me stressed, thinking of the very bad vision during heavy rain and the possible pedestrians that I might not see crossing a road ",I was thinking about driving in rain,1,1,1,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
25,3,8:15,"I was thinking more of driving in the rain, the stress and feeling of not having enough control of the car",I was thinking back to times when I had to drive in the rain,1,2,1,1.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
26,3,10:13,"I was thinking of driving in a city where there are no lights, but you cannot see behind corners, which makes me a bit stressful",I was trying to imagine my self in the given scenario with tall buildings,0,0,1,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
27,3,11:20,I was having a more positive and safer feeling about driving,I was sceptical if this device would exist,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
28,3,12:37,"I was thinking of different stressful situations when driving, when I cannot see and predict enough, feeling a bit stressed",I was trying to think how to say tight corner in English,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
29,3,13:53,"I was thinking of parking, garages, etc. in which I hate driving. It makes me feel anxious",I was thinking of difficulties in a parking garage and how it is similar to not seeing what I need to see when backing out of a spot,1,0,1,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
30,3,15:11, I was thinking of what would I like to have from the device,I was realizing I need to understand what the device is telling me,1,1,0,0.667,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
31,4,4:40,"I was flashing back to last time I drove in highway and got between two trucks with google maps stating wrong info, hell of a stressfull situation",They were thinking of how they compare to other drivers in skill,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
32,4,6:20,I was thinking of how pedestrians stress me out when driving,They were imagining the scenario of light turning green,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
33,4,8:05,I was thinking of how i hate this scenario soooo bad,They were imagining a rainy scenario and feeling anxious about it,2,1,2,1.667,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
34,4,10:05,I was thinking of how roads are usually not in great condition sigh,They were thinking about road conditions as an additional thing that they did not think of first,1,1,1,1.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
35,4,10:30,I was thinking with smart cars I would actually like using car more,They were imagining themselves in a smart car and what that could do ,1,2,1,1.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
36,4,14:05,I was thinking that I don't believe people drive more carefully in cities ,"They were trying to think of the scenario again, it seems different from what they thought earlier",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
37,4,16:06,I was thinking that it is hard to imagine how this device would help me without distracting me,They were thinking how speed as a number is hard to assess what it really means,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
38,4,16:30,I was kinda we shouldn't trust our own eyes because of evolution but kinda we should because smart doesn't mean smartest,They were thinking is was a difficult question,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
39,4,19:55,I was thinking this is so cool and such a good future development,"They were thinknig how it should work automatically, just work, not give complex info",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
